Palmeiras,1,4,56,28,16,8,4,43,18,25,66.7,13
Internacional,2,4,53,28,15,8,5,36,19,17,63.1,7
Flamengo,3,4,52,28,15,7,6,41,22,19,61.9,11
São Paulo,4,4,52,28,14,10,4,39,24,15,61.9,6
Grêmio,5,3,51,28,14,9,5,37,16,21,60.7,10
Atlético-MG,6,3,45,28,13,6,9,47,34,13,53.6,7
Santos,7,2,39,28,10,9,9,32,26,6,46.4,8
Fluminense,8,2,37,28,10,7,11,30,32,-2,44,9
Cruzeiro,9,2,37,27,9,10,8,22,23,-1,45.7,6
Atlético-PR,10,2,36,28,10,6,12,37,29,8,42.9,9
Corinthians,11,2,35,28,9,8,11,28,26,2,41.7,5
Botafogo,12,2,34,28,8,10,10,29,39,-10,40.5,8
América-MG,13,1,32,28,8,8,12,25,34,-9,38.1,3
Bahia,14,1,31,28,7,10,11,28,34,-6,36.9,3
Vasco,15,1,31,28,7,10,11,32,40,-8,36.9,7
Chapecoense,16,1,31,28,7,10,11,29,41,-12,36.9,9
Ceará,17,0,30,27,7,9,11,22,29,-7,37,10
Vitória,18,0,29,28,8,5,15,27,49,-22,34.5,3
Sport,19,0,27,28,7,6,15,25,45,-20,32.1,4
Paraná,20,0,17,28,3,8,17,12,41,-29,20.2,1
