Fortaleza,1,4,56,30,17,5,8,44,28,16,62.2,9
Goiás,2,4,50,30,15,5,10,43,37,6,55.6,8
CSA,3,4,50,30,14,8,8,39,30,9,55.6,7
Avaí,4,4,48,30,13,9,8,40,26,14,53.3,6
Guarani,5,3,45,30,12,9,9,37,31,6,50,8
Atlético-GO,6,3,45,30,12,9,9,43,42,1,50,5
Vila Nova,7,2,45,30,11,12,7,29,23,6,50,8
Coritiba,8,2,43,30,11,10,9,32,31,1,47.8,7
Londrina,9,2,41,30,11,8,11,32,32,0,45.6,11
Ponte Preta,10,2,40,30,10,10,10,31,26,5,44.4,6
Figueirense,11,2,40,30,10,10,10,38,37,1,44.4,2
Criciúma,12,2,40,31,10,10,11,32,35,-3,43,8
Oeste,13,1,40,30,9,13,8,30,31,-1,44.4,6
São Bento,14,1,39,30,9,12,9,30,30,0,43.3,8
Brasil de Pelotas,15,1,37,31,9,10,12,26,30,-4,39.8,9
CRB,16,1,32,31,7,11,13,22,32,-10,34.4,3
Paysandu,17,0,32,31,7,11,13,30,41,-11,34.4,3
Juventude,18,0,32,30,6,14,10,22,30,-8,35.6,4
Sampaio Corrêa,19,0,29,30,7,8,15,24,36,-12,32.2,8
Boa Esporte,20,0,26,30,6,8,16,23,39,-16,28.9,5
