Fortaleza,1,4,53,29,16,5,8,43,28,15,60.9,7
Goiás,2,4,49,29,15,4,10,43,37,6,56.3,10
CSA,3,4,47,29,13,8,8,38,30,8,54,7
Avaí,4,4,45,29,12,9,8,38,26,12,51.7,6
Guarani,5,3,45,29,12,9,8,37,30,7,51.7,8
Atlético-GO,6,3,44,29,12,8,9,41,40,1,50.6,7
Vila Nova,7,2,44,29,11,11,7,27,21,6,50.6,8
Londrina,8,2,40,29,11,7,11,32,32,0,46,10
Figueirense,9,2,40,29,10,10,9,38,36,2,46,3
Coritiba,10,2,40,29,10,10,9,30,30,0,46,7
Criciúma,11,2,39,29,10,9,10,32,34,-2,44.8,13
Oeste,12,2,39,29,9,12,8,30,31,-1,44.8,6
Ponte Preta,13,1,37,29,9,10,10,30,26,4,42.5,3
São Bento,14,1,36,29,8,12,9,29,30,-1,41.4,8
Brasil de Pelotas,15,1,34,29,8,10,11,25,29,-4,39.1,9
Juventude,16,1,32,29,6,14,9,21,28,-7,36.8,4
CRB,17,0,31,29,7,10,12,21,30,-9,35.6,3
Paysandu,18,0,31,29,7,10,12,29,39,-10,35.6,5
Sampaio Corrêa,19,0,26,29,6,8,15,23,36,-13,29.9,5
Boa Esporte,20,0,26,29,6,8,15,23,37,-14,29.9,5
