Palmeiras,1,4,53,27,15,8,4,41,18,23,65.4,13
Internacional,2,4,53,27,15,8,4,35,17,18,65.4,10
São Paulo,3,4,52,27,14,10,3,39,22,17,64.2,6
Grêmio,4,4,50,27,14,8,5,35,14,21,61.7,10
Flamengo,5,3,49,27,14,7,6,38,22,16,60.5,8
Atlético-MG,6,3,45,27,13,6,8,47,33,14,55.6,10
Cruzeiro,7,2,37,27,9,10,8,22,23,-1,45.7,6
Santos,8,2,36,27,9,9,9,31,26,5,44.4,8
Corinthians,9,2,35,27,9,8,10,28,23,5,43.2,5
Fluminense,10,2,34,27,9,7,11,26,32,-6,42,7
Atlético-PR,11,2,33,27,9,6,12,33,29,4,40.7,6
Botafogo,12,2,33,27,8,9,10,28,38,-10,40.7,8
América-MG,13,1,32,27,8,8,11,25,30,-5,39.5,6
Bahia,14,1,30,27,7,9,11,26,32,-6,37,5
Ceará,15,1,30,27,7,9,11,22,29,-7,37,10
Vitória,16,1,29,27,8,5,14,27,48,-21,35.8,4
Vasco,17,0,29,26,7,8,11,30,38,-8,37.2,5
Chapecoense,18,0,28,27,6,10,11,28,41,-13,34.6,6
Sport,19,0,24,27,6,6,15,23,44,-21,29.6,1
Paraná,20,0,16,26,3,7,16,11,36,-25,20.5,1
