Fortaleza,1,4,50,28,15,5,8,41,27,14,59.5,4
Goiás,2,4,46,28,14,4,10,40,35,5,54.8,10
CSA,3,4,46,27,13,7,7,38,29,9,56.8,9
Atlético-GO,4,4,43,28,12,7,9,39,38,1,51.2,6
Vila Nova,5,3,43,28,11,10,7,26,20,6,51.2,8
Avaí,6,3,42,27,11,9,7,35,24,11,51.9,6
Guarani,7,2,41,27,11,8,8,35,29,6,50.6,6
Londrina,8,2,39,28,11,6,11,32,32,0,46.4,12
Figueirense,9,2,39,28,10,9,9,36,34,2,46.4,5
Oeste,10,2,38,28,9,11,8,29,30,-1,45.2,5
Ponte Preta,11,2,37,28,9,10,9,30,25,5,44,4
Coritiba,12,2,37,28,9,10,9,29,30,-1,44,7
Criciúma,13,1,36,28,9,9,10,30,33,-3,42.9,11
São Bento,14,1,36,28,8,12,8,28,28,0,42.9,11
Brasil de Pelotas,15,1,31,28,7,10,11,23,28,-5,36.9,6
Paysandu,16,1,31,28,7,10,11,27,36,-9,36.9,6
Juventude,17,0,31,28,6,13,9,21,28,-7,36.9,4
CRB,18,0,30,28,7,9,12,21,30,-9,35.7,5
Boa Esporte,19,0,26,28,6,8,14,22,35,-13,31,8
Sampaio Corrêa,20,0,25,27,6,7,14,22,33,-11,30.9,7
