Vitória,1,América-MG,0
Grêmio,4,Botafogo,0
Vasco,0,Santos,3
Corinthians,1,Atlético-MG,1
Flamengo,0,Ceará,1
Atlético-PR,2,Bahia,0
São Paulo,1,Fluminense,1
Sport,1,Paraná,0
Cruzeiro,0,Internacional,0
Chapecoense,1,Palmeiras,2
