Vasco,Palmeiras,0,1,0,0,60.5971,39.4029
Botafogo,Paraná,1,0,0,58.0878,0,41.9122
São Paulo,Sport,1,0,0,71.3911,0,28.6089
Santos,Atlético-MG,0,1,0,4.5393,95.4607,0
Corinthians,Chapecoense,1,0,0,84.8377,0,15.1623
Internacional,Fluminense,1,0,0,72.6235,0,27.3765
Atlético-MG,Botafogo,1,0,0,62.9855,0,37.0145
Paraná,Internacional,0,1,0,0,64.8917,35.1083
Chapecoense,São Paulo,0,1,0,0,61.4496,38.5504
Bahia,Cruzeiro,0,0,1,0,43.9741,56.0259
Fluminense,América-MG,0,0,1,0,41.7685,58.2315
Flamengo,Atlético-PR,1,0,0,71.5064,0,28.4936
Ceará,Vasco,1,0,0,52.4117,47.5883,0
Sport,Santos,0,1,0,0,60.3136,39.6864
Palmeiras,Vitória,1,0,0,74.2134,0,25.7866
Grêmio,Corinthians,1,0,0,70.9625,0,29.0375
